config,best_fitness_mean,best_fitness_std,best_fitness_median,n_selected_mean,n_selected_std,exec_time_mean,exec_time_std,gen_completed_mean
20,0.650087,0.003947,0.649930,208.066667,9.965227,0.869976,0.048967,100.000000
50,0.651073,0.004865,0.650238,207.633333,10.489677,2.099967,0.119002,100.000000
100,0.650313,0.003582,0.649854,208.033333,10.303944,4.315366,0.165159,100.000000
200,0.651737,0.003028,0.651637,208.700000,8.602927,8.685823,0.334317,100.000000
500,0.653742,0.003823,0.653585,207.866667,7.942610,22.198410,0.802695,100.000000
