config,best_fitness_mean,best_fitness_std,best_fitness_median,n_selected_mean,n_selected_std,exec_time_mean,exec_time_std,gen_completed_mean
cr=0.6,0.651764,0.003535,0.651725,208.433333,12.442096,4.548283,0.270330,100.000000
cr=0.7,0.650840,0.002999,0.650673,210.466667,9.536620,4.218165,0.174579,100.000000
cr=0.8,0.650313,0.003582,0.649854,208.033333,10.303944,4.351051,0.177789,100.000000
cr=0.9,0.651741,0.004680,0.652431,208.100000,11.928956,4.667015,0.466639,100.000000
mr=0.01,0.738180,0.004228,0.737839,144.366667,8.360347,3.570765,0.361799,100.000000
mr=0.05,0.671795,0.004051,0.671395,195.900000,9.241399,4.265165,0.427008,100.000000
mr=0.1,0.650313,0.003582,0.649854,208.033333,10.303944,4.543363,0.423017,100.000000
mr=0.15,0.640628,0.002511,0.640507,216.700000,10.891787,4.549174,0.350800,100.000000
tournament_k=2,0.644833,0.003803,0.644272,213.300000,9.965977,4.537585,0.317978,100.000000
tournament_k=3,0.650313,0.003582,0.649854,208.033333,10.303944,4.565923,0.300859,100.000000
tournament_k=4,0.655037,0.003947,0.655192,207.433333,10.630741,4.510720,0.483876,100.000000
roulette,0.645711,0.003711,0.645627,211.533333,9.662345,4.703964,0.382340,100.000000
