config,acc_mean,acc_std,cv_mean,cv_std,overfitting,time_mean_s,roc_auc_best
"(400,200)_relu",0.81143,0.06825,0.82162,0.01717,0.15308,0.16936,0.98039
"(800,400)_relu",0.81429,0.06791,0.82013,0.01810,0.14327,0.31542,0.99346
"(600,300)_relu",0.80381,0.06628,0.81835,0.02092,0.16621,0.21617,0.99020
"(600,300,150)_relu",0.81333,0.05796,0.81606,0.01963,0.14806,0.28072,0.99346
"(400,)_relu",0.79905,0.06860,0.81227,0.02423,0.14004,0.09916,0.98693
"(600,300)_tanh",0.79810,0.06471,0.81207,0.01797,0.13524,0.20787,0.98039
"(400,200,100)_relu",0.80857,0.07812,0.80984,0.01986,0.15690,0.19139,0.99346
"(600,)_relu",0.81619,0.07291,0.80923,0.02602,0.13417,0.13211,0.99346
"(400,200)_tanh",0.81048,0.05544,0.80897,0.01862,0.12430,0.14453,0.97712
"(800,400)_tanh",0.79238,0.06035,0.80666,0.01948,0.15726,0.27898,0.99020
"(600,300)_identity",0.79333,0.05303,0.80594,0.02180,0.12345,0.18555,0.97712
"(600,300,150)_tanh",0.80286,0.06231,0.80579,0.01980,0.14319,0.27065,0.97712
"(400,200,100)_tanh",0.80000,0.06801,0.80316,0.02154,0.13885,0.17984,0.97712
"(400,200,100)_identity",0.78952,0.06237,0.80216,0.01808,0.13206,0.14593,0.95752
"(600,300,150)_identity",0.80476,0.06560,0.80159,0.02287,0.14224,0.25990,0.97059
"(400,200)_identity",0.79714,0.05182,0.80146,0.02046,0.12492,0.13241,0.96078
"(200,)_relu",0.77905,0.07485,0.80058,0.02067,0.14469,0.05533,0.97712
"(600,)_tanh",0.80190,0.07226,0.80041,0.02420,0.11944,0.12967,0.99673
"(800,400)_identity",0.78381,0.06418,0.80019,0.01926,0.14569,0.27123,0.98366
"(400,)_identity",0.77905,0.07485,0.79983,0.02525,0.12191,0.08248,0.97386
"(400,)_tanh",0.78571,0.07066,0.79969,0.02530,0.11596,0.09504,0.98366
"(600,)_identity",0.79905,0.07017,0.79779,0.02005,0.12158,0.13251,0.99673
"(200,)_tanh",0.77524,0.07142,0.79662,0.02353,0.13843,0.05930,0.97386
"(200,)_identity",0.78095,0.07819,0.79506,0.02640,0.13152,0.05217,0.96732
"(600,)_logistic",0.78095,0.06403,0.78775,0.02006,0.08835,0.20285,0.97386
"(400,)_logistic",0.77905,0.06386,0.78227,0.02019,0.07947,0.15635,0.95098
"(200,)_logistic",0.76476,0.06460,0.77821,0.02065,0.08896,0.09743,0.97386
"(800,400)_logistic",0.77524,0.07104,0.77297,0.02103,0.09191,0.56356,0.98039
"(400,200)_logistic",0.76571,0.06737,0.77039,0.02192,0.05971,0.22761,0.96405
"(400,200,100)_logistic",0.75429,0.08202,0.76682,0.02005,0.04476,0.32581,0.96405
"(600,300)_logistic",0.77714,0.06573,0.76474,0.02467,0.04996,0.35372,0.97712
"(600,300,150)_logistic",0.76667,0.06560,0.76113,0.02110,0.06930,0.53926,0.95752
