config,acc_mean,acc_std,cv_mean,cv_std,overfitting,time_mean_s,roc_auc_best
early_stop=off,0.81905,0.05824,0.82493,0.01725,0.18095,0.29012,0.97386
val_split=0.2,0.79810,0.06125,0.81382,0.01949,0.13284,0.14742,0.96405
n_iter_no_change=20,0.81048,0.05544,0.80937,0.01917,0.12454,0.24183,0.97712
alpha=0.5,0.80286,0.05538,0.80915,0.01781,0.12568,0.15666,0.97386
alpha=0.0001,0.81048,0.05544,0.80897,0.01862,0.12430,0.18871,0.97712
n_iter_no_change=10,0.81048,0.05544,0.80897,0.01862,0.12430,0.14729,0.97712
alpha=0.01,0.81048,0.05544,0.80897,0.01862,0.12430,0.14499,0.97712
alpha=0.001,0.81048,0.05544,0.80897,0.01862,0.12430,0.18939,0.97712
early_stop=on,0.81048,0.05544,0.80897,0.01862,0.12430,0.16440,0.97712
val_split=0.15,0.81048,0.05544,0.80897,0.01862,0.12430,0.15159,0.97712
alpha=0.1,0.80952,0.05682,0.80840,0.01853,0.12525,0.14908,0.97712
n_iter_no_change=5,0.80667,0.05699,0.80725,0.01942,0.11420,0.09013,0.97712
val_split=0.1,0.79714,0.06009,0.79731,0.02000,0.12012,0.13248,0.98039
